Name;Alter;Politische Orientierung;Bildungsabschluss;Soziales;Wohnlage;CO2-Fußabdruck
Reinhild;34;Mitte;Diplom;2;Großstadt;8.0
Johanna;60;Mitte;ohne;2;Ländlich;8.5
Gilda;32;Mitte;Fachschulabschluss;0;Großstadt;9.5
Evamaria;39;Mitte;ohne;3;Großstadt;8.5
Mesut;61;Mitte;ohne;0;Großstadt;8.5
Raymund;72;Mitte;Ausbildung;2;Großstadt;8.5
Joanna;22;Mitte;Ausbildung;0;Kleinstadt;7.5
Margareta;44;Mitte;Diplom;0;Großstadt;7.5
Friedlinde;73;Mitte;ohne;1;Kleinstadt;8.0
Franka;46;Mitte;Diplom;1;Großstadt;7.0
Gunnar;21;Mitte;Ausbildung;0;Ländlich;9.5
Ali;49;Mitte;Ausbildung;2;Vorort;9.0
Teresa;25;Mitte;Diplom;0;Großstadt;7.5
Emil;38;Mitte;Master;0;Vorort;10.5
Carmen;41;Links;Ausbildung;0;Großstadt;7.0
Carmelo;39;Links;Diplom;3;Vorort;7.0
Lucie;76;Mitte;Ausbildung;0;Kleinstadt;10.5
Gotthilf;34;Mitte;Ausbildung;0;Kleinstadt;9.5
Raymond;20;Mitte;Ausbildung;0;Großstadt;7.5
Laila;68;Mitte;Ausbildung;0;Kleinstadt;5.5
Jenny;26;Mitte;ohne;2;Ländlich;8.0
Sigrid;58;Mitte;Ausbildung;2;Großstadt;6.5
Konstantinos;62;Mitte;Ausbildung;0;Großstadt;8.0
Robert;74;Mitte;ohne;0;Großstadt;8.5
Cilli;76;Rechts;ohne;0;Kleinstadt;8.0
Philomena;23;Mitte;Master;0;Großstadt;8.0
Herma;43;Mitte;Ausbildung;2;Großstadt;6.0
Margarethe;50;Mitte;Ausbildung;0;Großstadt;9.0
Gerald;49;Mitte;Ausbildung;0;Großstadt;9.0
Isabella;43;Mitte;Diplom;0;Großstadt;6.5
Geza;39;Rechts;Fachschulabschluss;0;Kleinstadt;8.5
Margareta;42;Mitte;Ausbildung;0;Ländlich;8.5
Evelyne;57;Mitte;Ausbildung;2;Kleinstadt;7.5
Angela;51;Mitte;Ausbildung;1;Ländlich;10.5
Siegrid;25;Mitte;ohne;2;Großstadt;8.0
Gudrun;43;Links;Ausbildung;1;Kleinstadt;8.0
Adam;41;Mitte;Diplom;0;Großstadt;6.5
Blanka;58;Rechts;Ausbildung;0;Großstadt;7.0
Katarina;79;Mitte;Ausbildung;0;Kleinstadt;8.0
Regine;43;Links;Ausbildung;0;Kleinstadt;8.5
Jürgen;23;Mitte;Bachelor;2;Kleinstadt;10.0
Pauline;62;Rechts;Diplom;0;Großstadt;8.5
Ingo;57;Mitte;Diplom;0;Ländlich;10.0
Mareen;25;Mitte;Fachschulabschluss;0;Großstadt;6.5
Wladimir;66;Mitte;Diplom;0;Kleinstadt;8.0
Laszlo;42;Mitte;Fachschulabschluss;0;Ländlich;9.5
Horst-Peter;41;Rechts;Ausbildung;0;Kleinstadt;7.5
Ismet;53;Mitte;Ausbildung;0;Großstadt;8.5
Toralf;55;Links;Ausbildung;0;Großstadt;7.0
Heinz-Josef;57;Mitte;Ausbildung;1;Kleinstadt;8.0
Pirmin;69;Mitte;Promotion;1;Kleinstadt;8.5
Leon;40;Mitte;Ausbildung;0;Großstadt;7.5
Edgar;71;Mitte;Ausbildung;0;Großstadt;8.0
Andrei;55;Mitte;Ausbildung;2;Kleinstadt;8.5
Hedy;27;Rechts;Bachelor;2;Großstadt;6.0
Adriana;42;Mitte;Diplom;1;Ländlich;9.5
Karl-Friedrich;51;Mitte;Diplom;0;Ländlich;10.0
Louis;55;Mitte;Ausbildung;2;Großstadt;6.0
Alwine;44;Links;ohne;0;Großstadt;6.5
Friedemann;64;Rechts;Ausbildung;1;Großstadt;7.5
Walter;34;Mitte;Ausbildung;0;Ländlich;10.0
Emma;70;Mitte;Fachschulabschluss;1;Kleinstadt;8.0
Traude;27;Mitte;Ausbildung;0;Großstadt;8.0
Pascal;69;Mitte;Ausbildung;3;Vorort;8.5
Meik;46;Rechts;Ausbildung;2;Großstadt;5.0
Songül;75;Rechts;Ausbildung;0;Kleinstadt;9.0
Aleksandr;38;Mitte;ohne;2;Großstadt;7.0
Annamaria;52;Links;Fachschulabschluss;0;Kleinstadt;9.0
Sonja;73;Mitte;Ausbildung;0;Großstadt;8.0
Anette;20;Links;Ausbildung;0;Kleinstadt;9.5
Luitgard;45;Links;Diplom;0;Großstadt;7.0
Gotthilf;41;Mitte;Ausbildung;0;Kleinstadt;9.0
Helga;34;Rechts;Fachschulabschluss;0;Großstadt;8.0
Sara;65;Mitte;Ausbildung;0;Ländlich;9.5
Heinz-Jürgen;42;Mitte;Ausbildung;0;Großstadt;9.0
Charlotte;56;Rechts;Ausbildung;0;Kleinstadt;10.5
Burckhard;68;Mitte;Ausbildung;2;Vorort;9.5
Margarita;54;Mitte;Ausbildung;0;Großstadt;9.5
Steffen;46;Rechts;Ausbildung;0;Kleinstadt;9.5
Betti;47;Mitte;Diplom;3;Großstadt;9.0
Yilmaz;53;Mitte;Diplom;0;Großstadt;5.5
Isabel;32;Mitte;Ausbildung;0;Ländlich;9.5
Mia;57;Mitte;Ausbildung;1;Kleinstadt;9.0
Hans-Werner;76;Mitte;Diplom;0;Ländlich;9.0
Maik;43;Mitte;Ausbildung;0;Kleinstadt;7.5
Sevim;68;Mitte;Ausbildung;1;Ländlich;8.0
Rainer;40;Mitte;Ausbildung;0;Großstadt;8.0
Horst-Dieter;51;Mitte;Ausbildung;2;Großstadt;9.5
Ayse;33;Mitte;ohne;0;Großstadt;7.5
Jeannine;49;Mitte;Ausbildung;0;Großstadt;8.0
Erdogan;44;Mitte;ohne;3;Großstadt;9.0
Andrei;45;Mitte;Ausbildung;2;Großstadt;8.5
Bernfried;67;Mitte;Ausbildung;0;Kleinstadt;10.0
Eckhardt;56;Links;Ausbildung;1;Ländlich;10.0
Hülya;34;Rechts;Ausbildung;1;Großstadt;7.5
Marita;27;Mitte;Master;0;Kleinstadt;8.5
Amalia;74;Mitte;Ausbildung;1;Vorort;9.0
Katrin;20;Links;Fachschulabschluss;0;Großstadt;6.5
Marga;65;Links;Bachelor;0;Großstadt;5.5
Hanife;42;Mitte;Diplom;1;Kleinstadt;7.5
Darko;28;Rechts;Ausbildung;0;Vorort;9.5
Cynthia;43;Mitte;Ausbildung;0;Ländlich;7.5
Heinz-Georg;69;Mitte;ohne;2;Großstadt;7.5
Knud;77;Mitte;Diplom;0;Vorort;8.0
Kathrin;44;Mitte;Ausbildung;2;Großstadt;8.5
Claudia;32;Mitte;Ausbildung;0;Großstadt;9.0
Karl-Friedrich;37;Mitte;Diplom;0;Ländlich;10.0
Meral;24;Mitte;Ausbildung;0;Großstadt;7.5
Arndt;78;Mitte;Ausbildung;1;Kleinstadt;9.5
Lucie;56;Mitte;Diplom;2;Kleinstadt;5.5
Angelica;30;Mitte;Ausbildung;2;Kleinstadt;8.5
Kathleen;64;Mitte;Ausbildung;1;Kleinstadt;8.0
Alina;27;Mitte;Diplom;0;Großstadt;9.5
Dirk;63;Mitte;Ausbildung;0;Kleinstadt;8.5
Elfi;48;Mitte;Ausbildung;0;Ländlich;10.5
Petros;33;Mitte;ohne;0;Großstadt;7.5
Kati;55;Links;Fachschulabschluss;2;Großstadt;10.0
Türkan;42;Mitte;Ausbildung;1;Großstadt;8.0
Meral;43;Mitte;Fachschulabschluss;0;Großstadt;7.0
Ladislaus;53;Mitte;Diplom;1;Kleinstadt;9.0
Andrzej;56;Mitte;Ausbildung;0;Ländlich;9.5
Gertrude;59;Links;ohne;1;Vorort;7.5
Heribert;38;Mitte;Ausbildung;0;Großstadt;8.5
Wolf-Dietrich;34;Mitte;Ausbildung;1;Kleinstadt;8.5
Lore;54;Rechts;Ausbildung;2;Kleinstadt;7.5
Roswitha;76;Mitte;Ausbildung;0;Großstadt;6.5
Erik;45;Mitte;Ausbildung;0;Großstadt;7.5
Hans-Ludwig;65;Mitte;Ausbildung;0;Großstadt;7.5
Anica;35;Mitte;Ausbildung;0;Großstadt;7.0
Wilfriede;22;Mitte;ohne;2;Großstadt;6.5
Sören;58;Links;Fachschulabschluss;1;Kleinstadt;8.5
Ivan;32;Mitte;Diplom;0;Großstadt;6.5
Dietmar;50;Mitte;Ausbildung;2;Großstadt;6.5
José;38;Mitte;ohne;2;Großstadt;6.0
Betty;36;Mitte;Diplom;1;Großstadt;7.5
Donald;54;Mitte;Ausbildung;2;Großstadt;6.5
Lidwina;35;Mitte;Ausbildung;0;Großstadt;7.5
Walther;58;Mitte;Fachschulabschluss;0;Kleinstadt;8.5
Gisela;38;Rechts;Bachelor;0;Großstadt;8.5
Friedl;60;Links;Ausbildung;0;Großstadt;9.5
Ladislaus;47;Mitte;Diplom;1;Großstadt;8.0
Lioba;65;Mitte;Fachschulabschluss;0;Großstadt;8.0
Maik;22;Mitte;Fachschulabschluss;0;Großstadt;8.0
Lina;39;Mitte;Bachelor;0;Großstadt;8.0
Eberhardt;43;Rechts;Diplom;0;Kleinstadt;8.5
Gunar;77;Rechts;ohne;0;Großstadt;9.0
Bianka;76;Links;Ausbildung;2;Großstadt;6.0
Henri;59;Mitte;Ausbildung;3;Großstadt;5.0
Miroslawa;53;Links;Ausbildung;2;Großstadt;7.0
Fridolin;44;Mitte;ohne;1;Großstadt;8.0
Almuth;74;Mitte;ohne;0;Großstadt;8.0
Cosima;77;Mitte;ohne;3;Großstadt;9.5
Minna;37;Mitte;Fachschulabschluss;0;Großstadt;5.0
Oscar;44;Mitte;Diplom;3;Kleinstadt;6.0
Roy;77;Mitte;ohne;3;Großstadt;5.5
Tomislav;42;Mitte;Ausbildung;1;Ländlich;9.0
Anna;23;Mitte;Ausbildung;0;Großstadt;8.0
Sibille;34;Mitte;ohne;0;Kleinstadt;8.5
Trudi;47;Rechts;Diplom;0;Großstadt;7.5
Heinz-Peter;42;Mitte;Diplom;3;Großstadt;5.0
Erwin;46;Mitte;Ausbildung;3;Kleinstadt;8.5
Torben;24;Links;Ausbildung;3;Großstadt;6.0
Nicolaus;41;Mitte;Ausbildung;1;Großstadt;6.0
Friederike;27;Mitte;ohne;0;Großstadt;8.5
Gustav;70;Mitte;Ausbildung;2;Kleinstadt;9.0
Karl-Hans;44;Mitte;Diplom;0;Kleinstadt;7.5
Jerzy;38;Mitte;Ausbildung;0;Großstadt;7.5
Olav;40;Mitte;Diplom;2;Großstadt;9.0
Sandra;41;Mitte;Ausbildung;0;Kleinstadt;7.5
Juri;73;Mitte;Ausbildung;0;Großstadt;11.0
Gülay;25;Mitte;Ausbildung;3;Kleinstadt;7.0
Dietlinde;37;Rechts;Ausbildung;0;Großstadt;6.5
Michail;65;Mitte;Diplom;0;Großstadt;8.5
Domenico;49;Mitte;Ausbildung;1;Großstadt;6.0
Sybilla;33;Mitte;Ausbildung;2;Großstadt;8.0
Zita;34;Mitte;Diplom;1;Ländlich;8.5
Oswald;63;Rechts;Ausbildung;0;Großstadt;10.0
Hermann Josef;53;Mitte;ohne;0;Kleinstadt;11.0
Gönül;47;Mitte;ohne;0;Großstadt;7.0
Yilmaz;26;Rechts;Ausbildung;0;Großstadt;8.0
Laszlo;68;Mitte;ohne;1;Großstadt;9.5
Irene;66;Mitte;Ausbildung;0;Ländlich;11.0
Viktoria;57;Mitte;Ausbildung;0;Kleinstadt;7.0
Agathe;73;Links;Diplom;2;Großstadt;7.0
Heiner;60;Mitte;Ausbildung;1;Großstadt;8.0
Carmelo;46;Mitte;Ausbildung;2;Ländlich;8.0
Gertraud;79;Mitte;Ausbildung;1;Kleinstadt;9.5
Theres;38;Mitte;Ausbildung;0;Kleinstadt;8.5
Knut;72;Mitte;Ausbildung;0;Vorort;10.0
Cäcilia;20;Mitte;ohne;0;Großstadt;6.5
Margarethe;54;Mitte;ohne;0;Großstadt;10.0
Karlheinz;62;Rechts;Diplom;1;Großstadt;7.5
Gotthold;28;Mitte;Ausbildung;1;Großstadt;9.0
Jolanda;37;Mitte;ohne;0;Kleinstadt;6.0
Christian;70;Mitte;ohne;1;Großstadt;8.5
Wladimir;75;Mitte;ohne;0;Großstadt;6.5
Nina;48;Mitte;Fachschulabschluss;0;Großstadt;7.5
Edgar;38;Mitte;ohne;2;Großstadt;7.0
Hans-Günther;71;Mitte;Ausbildung;0;Großstadt;8.5
Ortrun;59;Rechts;Ausbildung;0;Kleinstadt;9.5
Lia;79;Mitte;ohne;1;Ländlich;11.0
Sepp;67;Mitte;Fachschulabschluss;0;Großstadt;7.0
Olav;59;Mitte;Ausbildung;0;Kleinstadt;8.0
Joseph;42;Mitte;Ausbildung;2;Großstadt;7.5
Hilma;57;Links;Ausbildung;2;Großstadt;7.0
Korbinian;47;Mitte;Diplom;3;Großstadt;4.0
Ivonne;56;Mitte;Ausbildung;1;Großstadt;7.5
Johanna;48;Rechts;Ausbildung;0;Großstadt;7.0
Amalie;56;Mitte;Ausbildung;0;Kleinstadt;9.0
Timm;38;Mitte;ohne;0;Kleinstadt;8.5
Karla;26;Mitte;Ausbildung;2;Ländlich;9.0
Giuseppe;64;Mitte;Ausbildung;0;Kleinstadt;9.5
Reimer;31;Rechts;Ausbildung;2;Kleinstadt;8.5
Magrit;43;Mitte;Ausbildung;2;Kleinstadt;7.0
Angelo;21;Mitte;Fachschulabschluss;0;Großstadt;8.5
Christl;35;Links;Diplom;2;Kleinstadt;6.5
Elli;34;Mitte;Diplom;0;Großstadt;9.5
Sükrü;68;Links;Ausbildung;1;Ländlich;10.0
Siegbert;75;Mitte;Diplom;1;Ländlich;8.0
Helmtrud;31;Links;Ausbildung;1;Ländlich;10.5
Jost;73;Mitte;Ausbildung;3;Kleinstadt;7.0
Karl-Werner;60;Mitte;Ausbildung;0;Kleinstadt;9.0
Beata;42;Mitte;Fachschulabschluss;1;Großstadt;7.5
Laurenz;37;Links;Ausbildung;3;Großstadt;5.5
Rita;24;Mitte;Bachelor;1;Großstadt;6.5
Amelie;76;Links;Ausbildung;0;Großstadt;8.5
Francisco;62;Mitte;Ausbildung;0;Großstadt;6.5
Bartholomäus;39;Mitte;Ausbildung;1;Kleinstadt;10.0
Gabi;50;Links;Ausbildung;2;Kleinstadt;5.5
Karina;32;Mitte;Ausbildung;1;Kleinstadt;9.0
Rico;63;Mitte;ohne;0;Großstadt;8.5
Goran;54;Rechts;ohne;0;Vorort;9.0
Sabrina;27;Mitte;Ausbildung;2;Ländlich;8.5
Evamaria;30;Mitte;ohne;0;Kleinstadt;7.0
Annita;51;Rechts;Ausbildung;0;Großstadt;8.0
Pamela;55;Mitte;Diplom;0;Großstadt;8.0
Karlheinz;49;Mitte;ohne;1;Großstadt;7.0
Hasso;40;Rechts;ohne;0;Ländlich;10.0
Valeria;33;Mitte;ohne;0;Großstadt;8.0
Ingeborg;76;Mitte;Ausbildung;0;Kleinstadt;8.5
Guiseppe;44;Mitte;Bachelor;0;Großstadt;6.0
Malte;58;Mitte;Ausbildung;0;Ländlich;9.0
Sinaida;61;Rechts;ohne;0;Ländlich;10.0
Sükrü;61;Mitte;ohne;1;Kleinstadt;6.5
Kristiane;49;Links;Ausbildung;0;Ländlich;9.5
Karolina;76;Mitte;ohne;1;Kleinstadt;8.5
Gottlieb;65;Rechts;ohne;2;Großstadt;7.5
Heiner;24;Mitte;ohne;2;Kleinstadt;7.0
Hans-Detlef;43;Links;Diplom;0;Großstadt;7.5
Xaver;46;Mitte;Ausbildung;2;Ländlich;9.5
Christof;21;Rechts;Bachelor;0;Großstadt;8.0
Sophie;77;Links;ohne;0;Ländlich;8.0
Willibald;45;Links;Ausbildung;0;Großstadt;8.5
Ibrahim;59;Mitte;Diplom;0;Großstadt;7.0
Gebhard;49;Mitte;Diplom;0;Kleinstadt;7.5
Thorben;66;Mitte;Ausbildung;0;Großstadt;9.0
Silja;68;Mitte;ohne;3;Großstadt;4.0
Hulda;78;Mitte;ohne;0;Großstadt;7.5
Edit;68;Mitte;Ausbildung;0;Großstadt;8.0
Andre;73;Mitte;Ausbildung;0;Kleinstadt;8.5
Francoise;26;Links;Diplom;0;Kleinstadt;7.0
Gislinde;42;Mitte;Ausbildung;0;Ländlich;7.0
Theodora;72;Mitte;Fachschulabschluss;0;Ländlich;9.0
Thekla;68;Mitte;Ausbildung;0;Kleinstadt;10.0
Roy;51;Mitte;Fachschulabschluss;0;Kleinstadt;8.5
Sylwia;54;Mitte;Ausbildung;0;Ländlich;6.5
Janko;65;Mitte;Ausbildung;0;Kleinstadt;9.0
Nikolaj;48;Mitte;Diplom;0;Großstadt;8.0
Christel;58;Mitte;Master;3;Großstadt;5.0
Anika;69;Mitte;Fachschulabschluss;0;Großstadt;9.0
Jörg;64;Mitte;Ausbildung;0;Großstadt;9.5
Paolo;30;Mitte;Ausbildung;1;Kleinstadt;7.5
Gundel;40;Mitte;Diplom;0;Großstadt;8.5
Heinz Dieter;78;Links;Ausbildung;1;Großstadt;6.0
Helga;61;Mitte;Fachschulabschluss;0;Großstadt;8.0
Ewa;52;Mitte;ohne;0;Großstadt;9.0
Eggert;34;Mitte;ohne;0;Großstadt;7.5
Burkhardt;35;Mitte;Diplom;0;Großstadt;6.5
Elenore;47;Mitte;Ausbildung;2;Großstadt;5.0
Rosi;62;Mitte;Ausbildung;0;Großstadt;10.0
Thoralf;32;Mitte;Ausbildung;0;Vorort;8.5
Erdal;24;Rechts;Ausbildung;0;Großstadt;7.5
Henriette;47;Mitte;Ausbildung;0;Großstadt;7.5
Eckehard;37;Links;Ausbildung;1;Vorort;10.5
Geza;69;Mitte;Ausbildung;0;Ländlich;10.0
Frank-Peter;55;Rechts;Ausbildung;0;Großstadt;9.5
Massimo;39;Mitte;Fachschulabschluss;0;Großstadt;5.5
Lidwina;56;Mitte;Ausbildung;0;Ländlich;9.0
Niklas;21;Mitte;Diplom;2;Großstadt;8.0
Saskia;64;Links;Ausbildung;0;Kleinstadt;11.5
Amir;65;Mitte;Ausbildung;1;Vorort;7.5
Agathe;71;Mitte;Ausbildung;2;Kleinstadt;6.0
Katherina;32;Mitte;Ausbildung;0;Großstadt;8.5
Riza;44;Mitte;Ausbildung;1;Großstadt;5.5
Adele;51;Mitte;ohne;3;Ländlich;7.5
Mara;43;Rechts;Ausbildung;0;Großstadt;6.0
Leonhard;32;Mitte;Ausbildung;1;Kleinstadt;10.5
Resi;65;Mitte;ohne;0;Großstadt;10.5
Benjamin;26;Mitte;ohne;0;Kleinstadt;8.0
Wilfried;25;Mitte;ohne;2;Kleinstadt;7.0
Ferenc;21;Rechts;Ausbildung;0;Ländlich;9.5
Günther;75;Mitte;Ausbildung;2;Großstadt;8.5
Edmund;36;Mitte;Ausbildung;0;Großstadt;6.0
Dörte;74;Mitte;Ausbildung;2;Großstadt;8.0
Heinz-Peter;29;Mitte;ohne;0;Großstadt;8.0
Heide;23;Mitte;Master;0;Kleinstadt;9.5
Lili;54;Mitte;Ausbildung;0;Großstadt;9.0
Insa;30;Mitte;Master;3;Ländlich;8.5
Stjepan;49;Mitte;Ausbildung;0;Ländlich;10.5
Olaf;45;Mitte;Ausbildung;1;Ländlich;10.5
Dorothea;33;Links;Ausbildung;0;Kleinstadt;8.5
Jörg-Peter;20;Mitte;Ausbildung;0;Kleinstadt;9.5
Waldtraut;28;Mitte;Diplom;1;Großstadt;7.5
Fatih;45;Mitte;Ausbildung;0;Ländlich;11.0
Valentin;69;Mitte;Fachschulabschluss;1;Großstadt;8.5
Georgine;22;Rechts;Ausbildung;0;Kleinstadt;10.5
Horst;58;Mitte;Ausbildung;0;Kleinstadt;9.0
Arnulf;61;Mitte;Ausbildung;0;Kleinstadt;9.5
Erich;62;Mitte;ohne;0;Vorort;7.5
Geert;42;Mitte;Ausbildung;1;Vorort;7.5
Adrian;78;Rechts;Diplom;0;Kleinstadt;8.5
Nikolaj;71;Mitte;ohne;3;Großstadt;6.0
Harold;20;Mitte;Ausbildung;0;Großstadt;9.5
Alma;36;Rechts;Ausbildung;0;Ländlich;9.5
Natalie;48;Mitte;Ausbildung;0;Kleinstadt;6.0
Klaus-D.;78;Mitte;Ausbildung;1;Großstadt;8.5
Anton;75;Mitte;Ausbildung;0;Kleinstadt;6.5
Carlos;79;Mitte;ohne;0;Großstadt;8.5
Wally;51;Links;Ausbildung;0;Ländlich;9.0
Heinz-Otto;40;Links;Ausbildung;0;Großstadt;6.5
Friedbert;39;Mitte;Ausbildung;1;Großstadt;7.5
Friedhelm;46;Mitte;Ausbildung;0;Ländlich;7.0
Marion;32;Mitte;Ausbildung;1;Kleinstadt;8.0
Daria;43;Mitte;Diplom;2;Kleinstadt;8.0
Willfried;57;Mitte;Ausbildung;0;Großstadt;6.0
Eckhart;56;Mitte;Fachschulabschluss;0;Großstadt;8.5
Raisa;65;Mitte;Ausbildung;1;Kleinstadt;10.0
Hans-Gerd;62;Mitte;Ausbildung;0;Kleinstadt;6.5
Etta;57;Mitte;Ausbildung;1;Großstadt;7.5
Manuel;66;Mitte;Ausbildung;0;Kleinstadt;8.5
Natalie;55;Mitte;Ausbildung;0;Kleinstadt;8.0
Maren;56;Mitte;Fachschulabschluss;1;Großstadt;6.5
Gretel;24;Mitte;Ausbildung;1;Großstadt;8.5
Marius;48;Mitte;Diplom;2;Kleinstadt;10.0
Oscar;28;Rechts;Ausbildung;0;Großstadt;9.0
Leni;54;Mitte;ohne;1;Großstadt;8.5
Rochus;59;Mitte;ohne;0;Ländlich;8.0
Carmine;38;Rechts;Diplom;0;Ländlich;9.5
Mechthild;77;Mitte;ohne;0;Kleinstadt;10.0
Regine;52;Rechts;Diplom;0;Kleinstadt;8.0
Melita;28;Mitte;Ausbildung;2;Großstadt;6.5
Margaret;40;Mitte;Fachschulabschluss;0;Großstadt;10.0
Yusuf;55;Mitte;Ausbildung;0;Großstadt;5.5
Karl-Hermann;42;Mitte;Ausbildung;0;Kleinstadt;8.0
Zbigniew;29;Mitte;Bachelor;0;Vorort;6.0
Zeki;53;Mitte;Bachelor;1;Großstadt;8.0
Judith;33;Rechts;Ausbildung;0;Ländlich;9.5
Hella;54;Mitte;Ausbildung;0;Vorort;7.5
Jenny;41;Rechts;Diplom;0;Ländlich;9.0
Gotthilf;58;Mitte;Ausbildung;3;Großstadt;5.0
Frida;42;Mitte;Fachschulabschluss;0;Großstadt;7.5
Agathe;33;Mitte;Fachschulabschluss;0;Großstadt;8.0
Birte;27;Mitte;Ausbildung;0;Großstadt;8.0
Catherine;21;Mitte;Ausbildung;0;Großstadt;7.0
Gertraut;22;Rechts;ohne;3;Kleinstadt;6.0
Hella;60;Mitte;Ausbildung;0;Kleinstadt;8.5
Konrad;28;Rechts;Ausbildung;2;Großstadt;7.0
Heiner;28;Links;Ausbildung;1;Großstadt;7.0
Giorgio;39;Mitte;Diplom;0;Großstadt;5.5
Joanna;20;Mitte;Bachelor;0;Kleinstadt;8.5
Marcella;34;Mitte;Ausbildung;0;Ländlich;9.5
Emilia;54;Rechts;Ausbildung;0;Großstadt;8.5
Bayram;22;Mitte;Master;1;Großstadt;6.5
Emil;73;Mitte;Diplom;3;Großstadt;6.5
Leonie;24;Mitte;ohne;0;Großstadt;9.5
Hans-J.;37;Mitte;ohne;0;Kleinstadt;5.5
Rochus;31;Rechts;ohne;1;Großstadt;5.5
Mareike;27;Links;ohne;0;Kleinstadt;9.0
Annerose;38;Rechts;Ausbildung;0;Großstadt;8.0
Chantal;50;Mitte;Ausbildung;0;Kleinstadt;8.0
Waldemar;77;Mitte;Diplom;2;Großstadt;9.0
Bernt;72;Mitte;ohne;0;Ländlich;10.5
Carin;26;Mitte;Bachelor;0;Vorort;8.5
Jonas;36;Mitte;Diplom;0;Kleinstadt;8.5
Jens-Peter;26;Rechts;ohne;2;Ländlich;11.0
Eleonora;44;Mitte;Fachschulabschluss;0;Großstadt;7.5
Nuray;38;Links;Ausbildung;1;Großstadt;7.5
Tilman;72;Links;Ausbildung;2;Vorort;8.0
Hans-Heinrich;58;Mitte;Fachschulabschluss;2;Großstadt;5.5
Jessica;71;Rechts;Diplom;0;Großstadt;7.5
Hans-Jörg;56;Rechts;ohne;0;Großstadt;8.5
Murat;69;Mitte;Ausbildung;2;Großstadt;6.5
Valerie;53;Links;Ausbildung;0;Großstadt;7.0
Julia;30;Mitte;Fachschulabschluss;2;Großstadt;4.5
Ahmad;52;Links;Ausbildung;1;Großstadt;7.5
Marit;40;Mitte;ohne;0;Kleinstadt;10.0
Damian;71;Mitte;Ausbildung;1;Kleinstadt;8.5
Hedda;78;Mitte;Ausbildung;0;Kleinstadt;10.5
Rolf-Dieter;35;Mitte;Fachschulabschluss;2;Großstadt;7.0
Janet;77;Rechts;Diplom;0;Kleinstadt;8.5
Orhan;47;Mitte;Diplom;0;Großstadt;9.0
Stjepan;24;Mitte;ohne;2;Kleinstadt;5.5
Edgar;30;Links;Ausbildung;0;Großstadt;8.0
Tassilo;68;Mitte;Ausbildung;0;Großstadt;6.0
Donald;42;Mitte;Ausbildung;1;Großstadt;8.0
Irmtrud;40;Links;Ausbildung;3;Großstadt;6.5
Frank-Peter;40;Mitte;Ausbildung;2;Großstadt;7.5
Trude;29;Mitte;Ausbildung;0;Kleinstadt;9.0
Rosa;41;Mitte;Ausbildung;0;Großstadt;9.0
Annegrete;29;Mitte;Fachschulabschluss;0;Großstadt;7.0
Bernard;72;Mitte;Diplom;0;Großstadt;9.0
Beate;51;Mitte;Ausbildung;3;Vorort;8.0
Aribert;49;Mitte;ohne;0;Großstadt;8.0
Katalin;32;Mitte;Ausbildung;2;Großstadt;6.0
Roselinde;69;Mitte;Ausbildung;0;Großstadt;8.5
Mareen;57;Mitte;ohne;2;Großstadt;7.0
Vinko;49;Mitte;Diplom;0;Kleinstadt;9.5
Gretchen;33;Mitte;Ausbildung;0;Kleinstadt;9.5
Centa;71;Rechts;ohne;0;Großstadt;8.0
Philomena;29;Mitte;Ausbildung;3;Großstadt;4.5
Janet;55;Mitte;Ausbildung;0;Großstadt;9.5
Friedrich-Wilhelm;23;Mitte;Ausbildung;1;Kleinstadt;7.0
Stanislav;24;Mitte;Bachelor;0;Großstadt;10.0
Hanife;59;Mitte;Ausbildung;1;Kleinstadt;7.0
Guntram;72;Mitte;ohne;0;Großstadt;8.0
Isa;50;Mitte;Fachschulabschluss;0;Großstadt;8.0
Anna-Luise;54;Mitte;ohne;3;Ländlich;8.0
Pascal;40;Mitte;Ausbildung;0;Großstadt;5.5
Theodoros;42;Mitte;Ausbildung;0;Großstadt;7.5
Timo;42;Rechts;ohne;0;Großstadt;5.5
Liliana;43;Mitte;Fachschulabschluss;1;Vorort;8.0
Benedikt;46;Mitte;Ausbildung;0;Großstadt;9.0
Elfie;36;Mitte;Ausbildung;0;Kleinstadt;8.0
Dorit;36;Mitte;Ausbildung;0;Vorort;7.5
Ramona;53;Mitte;Fachschulabschluss;2;Ländlich;9.0
Edeltrud;46;Mitte;Diplom;1;Kleinstadt;9.5
Patricia;46;Rechts;Ausbildung;0;Ländlich;9.5
Mariana;74;Mitte;ohne;0;Ländlich;11.5
Natali;36;Mitte;Bachelor;2;Großstadt;7.5
Helen;41;Mitte;Diplom;0;Ländlich;9.5
Lili;26;Mitte;Ausbildung;1;Großstadt;9.0
Bernt;44;Rechts;Diplom;0;Großstadt;8.5
Lukas;41;Mitte;Ausbildung;1;Großstadt;6.0
Hiltraud;55;Rechts;Fachschulabschluss;0;Großstadt;9.0
Kristin;39;Mitte;Fachschulabschluss;0;Großstadt;10.5
Bayram;73;Links;Fachschulabschluss;2;Großstadt;7.5
Heidelore;65;Mitte;ohne;0;Großstadt;8.0
Lutz;75;Mitte;ohne;0;Kleinstadt;8.0
Sylvester;51;Mitte;Diplom;0;Großstadt;5.5
Frank;60;Mitte;Ausbildung;0;Großstadt;8.5
