Name;Alter;Politische Orientierung;Bildungsabschluss;Soziales;Wohnlage;CO2-Fußabdruck;Bewertung
Wulf;42;Mitte;Ausbildung;0;Großstadt;7.0;977
Fabienne;66;Mitte;ohne;0;Großstadt;10.5;791
Maxim;66;Mitte;Ausbildung;1;Großstadt;8.5;1043
Willibert;43;Mitte;Ausbildung;0;Kleinstadt;8.0;1023
Samir;29;Mitte;Ausbildung;1;Großstadt;8.0;1039
Gerlinde;58;Mitte;Fachschulabschluss;1;Kleinstadt;8.0;1114
Herma;23;Mitte;Master;2;Großstadt;7.0;967
Pawel;48;Links;Ausbildung;0;Kleinstadt;9.5;896
Adelinde;28;Mitte;Diplom;0;Ländlich;7.5;861
Pauline;75;Mitte;Ausbildung;0;Kleinstadt;7.0;1035
Samir;22;Links;Master;1;Großstadt;7.0;1011
Sonja;64;Rechts;Ausbildung;1;Kleinstadt;7.5;995
Annelene;24;Mitte;ohne;0;Großstadt;8.0;811
Hans-Walter;54;Rechts;Ausbildung;0;Großstadt;7.0;871
Patric;26;Links;ohne;1;Großstadt;5.5;863
Natalja;28;Mitte;Ausbildung;1;Großstadt;7.0;1053
Agnieszka;46;Mitte;Diplom;1;Kleinstadt;6.5;1236
Wilhelm;79;Links;Ausbildung;2;Großstadt;6.0;1021
Alida;60;Links;Ausbildung;2;Großstadt;8.5;977
Anatol;74;Rechts;Fachschulabschluss;2;Großstadt;6.5;1038
Nelli;30;Mitte;Ausbildung;0;Großstadt;8.0;978
Zoltan;60;Mitte;ohne;0;Vorort;10.0;829
Steffen;41;Links;Ausbildung;2;Großstadt;8.5;777
Jo;32;Mitte;Bachelor;2;Ländlich;8.5;1134
Karl;22;Mitte;Ausbildung;0;Kleinstadt;9.5;994
Hans-Otto;28;Mitte;ohne;0;Großstadt;10.0;613
Annaliese;39;Links;Fachschulabschluss;0;Kleinstadt;7.0;750
Hanne;42;Mitte;Ausbildung;2;Großstadt;6.5;1134
Arthur;47;Links;ohne;3;Kleinstadt;6.5;791
Mary;61;Rechts;ohne;2;Großstadt;8.0;828
Imelda;75;Mitte;Fachschulabschluss;0;Großstadt;9.5;960
Heinfried;20;Mitte;Ausbildung;1;Großstadt;7.5;1048
Polina;39;Mitte;ohne;1;Kleinstadt;8.5;942
Liesbeth;78;Mitte;Ausbildung;0;Kleinstadt;8.5;1018
Reza;21;Mitte;ohne;1;Großstadt;7.5;898
Heidelore;64;Mitte;Fachschulabschluss;0;Kleinstadt;8.5;1037
Jörg;48;Links;Ausbildung;0;Großstadt;7.5;877
Sibel;54;Rechts;Ausbildung;0;Großstadt;8.5;856
Jonas;76;Mitte;Ausbildung;0;Kleinstadt;8.5;1019
Milos;21;Mitte;ohne;1;Kleinstadt;7.5;956
Balthasar;68;Mitte;Fachschulabschluss;0;Großstadt;6.0;1023
Vincent;27;Mitte;Ausbildung;0;Großstadt;11.0;685
Kevin;57;Mitte;Ausbildung;0;Großstadt;9.0;954
Fatima;34;Links;Master;1;Kleinstadt;7.0;869
Cosima;37;Mitte;Ausbildung;1;Kleinstadt;9.0;1071
Norbert;28;Rechts;Ausbildung;0;Großstadt;7.5;675
Hans-Rudolf;34;Mitte;ohne;2;Großstadt;8.0;928
Helmar;37;Mitte;Ausbildung;2;Großstadt;7.5;1098
Annamaria;61;Rechts;Ausbildung;2;Großstadt;8.0;979
Paulo;26;Mitte;ohne;2;Großstadt;7.0;746
Ada;26;Rechts;Ausbildung;0;Großstadt;8.0;862
Anthony;76;Mitte;Ausbildung;0;Großstadt;9.0;949
Miroslawa;22;Mitte;Ausbildung;0;Großstadt;9.0;742
Dragica;55;Mitte;Ausbildung;0;Großstadt;9.0;952
Henner;57;Links;ohne;2;Großstadt;6.0;875
Lorenz;22;Mitte;Ausbildung;1;Kleinstadt;8.5;895
Antonina;54;Links;ohne;2;Großstadt;7.0;847
Natali;36;Rechts;Ausbildung;0;Kleinstadt;7.5;924
Theo;43;Mitte;Ausbildung;2;Großstadt;5.0;1171
Max;77;Mitte;ohne;0;Vorort;8.5;864
Hermann-Josef;37;Mitte;Ausbildung;0;Großstadt;5.5;1038
Maike;37;Mitte;Diplom;0;Großstadt;7.5;1057
Gereon;64;Rechts;Fachschulabschluss;0;Großstadt;6.5;934
Günter;68;Mitte;Ausbildung;0;Großstadt;7.5;980
Agatha;57;Mitte;ohne;0;Kleinstadt;7.0;883
Katja;46;Mitte;ohne;1;Großstadt;7.5;902
Sonia;58;Mitte;Ausbildung;0;Großstadt;8.5;972
Tassilo;29;Rechts;Ausbildung;0;Vorort;8.0;910
Mesut;23;Mitte;Ausbildung;0;Kleinstadt;9.0;992
Henri;40;Mitte;Ausbildung;0;Großstadt;6.0;1011
Ahmed;54;Mitte;Ausbildung;0;Großstadt;8.0;966
Edeltrud;60;Mitte;ohne;1;Großstadt;7.5;896
Eveline;36;Mitte;Ausbildung;0;Ländlich;7.0;979
Björn;76;Mitte;ohne;0;Großstadt;8.0;828
Janin;70;Mitte;Ausbildung;0;Kleinstadt;8.0;1021
Sigismund;78;Mitte;Diplom;0;Großstadt;8.5;1060
Amalie;66;Mitte;Ausbildung;0;Großstadt;8.5;972
Stanislav;63;Mitte;Ausbildung;0;Kleinstadt;8.0;1027
Friedbert;42;Links;Ausbildung;0;Großstadt;8.5;657
Dorothee;54;Mitte;Ausbildung;0;Kleinstadt;10.5;979
Michael;40;Rechts;Diplom;0;Kleinstadt;10.0;960
Karina;50;Links;Ausbildung;1;Kleinstadt;6.5;829
George;30;Mitte;Ausbildung;0;Großstadt;9.5;940
Ramon;63;Mitte;Ausbildung;0;Großstadt;9.0;948
Nurten;59;Rechts;Diplom;3;Kleinstadt;9.0;1159
Inga;23;Rechts;Ausbildung;0;Großstadt;9.5;834
Eva-Marie;67;Mitte;Ausbildung;0;Großstadt;6.5;1008
Ian;42;Mitte;Diplom;0;Kleinstadt;7.5;1129
Hanna;64;Mitte;Ausbildung;0;Großstadt;8.0;959
Hermann-Josef;73;Rechts;Ausbildung;1;Großstadt;8.0;931
Wally;77;Mitte;Ausbildung;0;Kleinstadt;10.0;974
Valerie;23;Mitte;ohne;0;Großstadt;6.5;658
Paul-Gerhard;36;Mitte;Diplom;3;Kleinstadt;6.5;1337
Rena;57;Links;Ausbildung;2;Großstadt;6.0;1024
Andrej;66;Mitte;Ausbildung;0;Kleinstadt;8.5;1026
Ekkehart;49;Mitte;Fachschulabschluss;0;Großstadt;9.5;965
Francis;50;Rechts;ohne;0;Großstadt;8.0;706
Ahmed;38;Mitte;Fachschulabschluss;0;Großstadt;6.5;1034
Joseph;78;Rechts;Ausbildung;0;Großstadt;7.0;872
Norman;75;Mitte;Ausbildung;0;Kleinstadt;10.0;974
Erhardt;33;Mitte;Ausbildung;0;Großstadt;9.5;945
Christof;58;Mitte;Diplom;0;Großstadt;10.5;1011
Arno;58;Mitte;Diplom;0;Großstadt;8.5;1046
Brita;32;Rechts;ohne;1;Großstadt;5.5;871
Tania;65;Mitte;Ausbildung;3;Kleinstadt;5.0;1287
Ian;43;Mitte;Ausbildung;0;Großstadt;8.5;973
James;75;Mitte;Ausbildung;0;Kleinstadt;8.5;1017
Stanislav;33;Mitte;Diplom;0;Großstadt;8.0;1043
Diethelm;59;Mitte;Ausbildung;0;Kleinstadt;8.0;1024
Dora;21;Mitte;Master;1;Großstadt;7.5;915
Igor;41;Links;Diplom;0;Ländlich;10.5;909
Leopoldine;59;Links;Ausbildung;1;Großstadt;7.0;948
Joseph;61;Mitte;Diplom;1;Großstadt;9.5;1098
Hans-Rudolf;47;Mitte;Fachschulabschluss;3;Großstadt;5.5;1235
Elsa;74;Mitte;Ausbildung;1;Großstadt;6.0;1095
Ronny;23;Mitte;Master;0;Großstadt;9.5;1012
Wanda;20;Links;ohne;0;Großstadt;9.5;695
Lorenz;53;Rechts;Ausbildung;2;Großstadt;7.5;986
Roswita;33;Mitte;Ausbildung;1;Großstadt;7.5;1059
Edwin;59;Mitte;Ausbildung;2;Großstadt;7.5;1098
Gert;27;Mitte;Fachschulabschluss;2;Kleinstadt;6.5;1213
Magdalene;57;Mitte;Ausbildung;0;Großstadt;8.5;973
Herlinde;43;Mitte;Ausbildung;0;Großstadt;9.5;940
Cemil;56;Mitte;Ausbildung;1;Großstadt;8.5;1048
Katharine;26;Mitte;Ausbildung;0;Ländlich;12.0;660
Klaus-D.;65;Links;Ausbildung;0;Vorort;7.0;722
Hanspeter;61;Rechts;Fachschulabschluss;0;Kleinstadt;7.0;951
Gretchen;70;Mitte;ohne;1;Großstadt;7.5;905
Maya;65;Rechts;ohne;1;Großstadt;10.0;747
Elena;35;Mitte;Master;0;Großstadt;8.0;1030
Patric;52;Mitte;Ausbildung;1;Großstadt;7.0;1058
Gudula;42;Rechts;Diplom;0;Ländlich;10.0;912
Kreszenz;26;Mitte;Bachelor;2;Großstadt;8.5;1134
Jörn;40;Rechts;Ausbildung;0;Großstadt;6.5;908
Gunther;52;Mitte;Ausbildung;3;Großstadt;7.0;1163
Roswita;33;Links;Diplom;2;Großstadt;9.0;834
Käthe;59;Mitte;Ausbildung;0;Großstadt;8.0;972
Roselinde;48;Mitte;Diplom;0;Großstadt;8.5;1051
Torben;78;Mitte;ohne;0;Kleinstadt;9.0;854
Roy;63;Mitte;Ausbildung;0;Großstadt;8.5;968
Antonietta;55;Mitte;Diplom;0;Großstadt;7.0;1078
Gretchen;52;Mitte;Ausbildung;2;Kleinstadt;7.0;1147
Conny;46;Rechts;Diplom;0;Großstadt;9.0;933
Harriet;43;Mitte;Ausbildung;0;Großstadt;8.5;967
Klaus-Peter;78;Mitte;Diplom;0;Großstadt;8.0;1048
Dietmar;22;Mitte;Ausbildung;0;Großstadt;7.5;974
Lorenzo;40;Rechts;Ausbildung;0;Großstadt;4.5;962
Ekkehart;43;Rechts;Ausbildung;0;Großstadt;7.0;874
Fanny;58;Mitte;Ausbildung;1;Großstadt;8.5;1043
Katrin;30;Mitte;Diplom;0;Großstadt;8.5;1048
Jan;76;Mitte;ohne;2;Großstadt;7.5;956
Philippe;26;Mitte;Ausbildung;0;Großstadt;8.5;970
Oda;37;Mitte;Diplom;2;Vorort;9.0;1206
Hubertine;37;Links;Ausbildung;3;Großstadt;6.0;1085
Gabriela;52;Mitte;Ausbildung;0;Großstadt;8.5;968
Rolf-Peter;33;Rechts;Ausbildung;0;Kleinstadt;6.0;952
Joachim;26;Mitte;Fachschulabschluss;0;Ländlich;8.0;792
Lidwina;37;Mitte;Ausbildung;0;Großstadt;6.0;1013
Josip;52;Mitte;Ausbildung;0;Großstadt;8.0;972
Hedwig;63;Mitte;Ausbildung;0;Großstadt;8.0;971
Lissy;78;Mitte;Fachschulabschluss;0;Kleinstadt;8.5;1033
Mareike;35;Links;Master;0;Großstadt;8.5;931
Herta;33;Links;ohne;0;Großstadt;6.5;603
Heinz-Joachim;76;Links;ohne;3;Großstadt;7.0;899
Elli;66;Rechts;Ausbildung;0;Großstadt;8.5;860
Esther;53;Mitte;Ausbildung;0;Großstadt;9.5;946
Dorina;71;Links;ohne;0;Großstadt;10.0;605
Ismet;72;Links;ohne;3;Kleinstadt;7.5;969
Leif;20;Links;Master;0;Großstadt;7.0;606
Ditmar;64;Mitte;ohne;0;Kleinstadt;10.0;827
Christin;48;Links;Fachschulabschluss;0;Großstadt;8.0;884
Svetlana;59;Mitte;Bachelor;2;Kleinstadt;6.5;1230
Gisa;29;Links;Master;0;Kleinstadt;8.5;970
Birgitt;53;Mitte;Fachschulabschluss;0;Kleinstadt;8.5;1041
Sabri;70;Mitte;ohne;0;Kleinstadt;9.5;855
Irene;73;Mitte;ohne;0;Kleinstadt;11.5;807
Nina;55;Links;Ausbildung;1;Großstadt;8.0;935
Gabriella;55;Rechts;Diplom;0;Großstadt;10.5;899
Valentin;47;Mitte;ohne;0;Ländlich;7.5;830
Svea;54;Mitte;Ausbildung;0;Kleinstadt;8.0;1021
Hermann Josef;28;Rechts;Ausbildung;1;Großstadt;6.0;972
Maya;50;Links;Ausbildung;2;Großstadt;5.5;1057
Klaus-Jürgen;27;Mitte;Fachschulabschluss;0;Großstadt;6.0;1023
Ricardo;30;Mitte;Ausbildung;0;Kleinstadt;9.0;1003
Nuran;22;Mitte;Ausbildung;0;Großstadt;6.5;1013
Isabella;70;Links;Ausbildung;0;Vorort;10.0;663
Karl-Otto;60;Mitte;Diplom;0;Ländlich;10.0;1014
Katharine;23;Links;Master;0;Großstadt;8.5;917
Veronique;23;Links;ohne;1;Vorort;8.5;840
Tino;55;Mitte;Fachschulabschluss;0;Großstadt;7.5;1001
Patrick;53;Mitte;Ausbildung;0;Kleinstadt;7.5;1027
Domenico;57;Mitte;ohne;0;Ländlich;7.5;829
Alexej;38;Rechts;ohne;0;Großstadt;8.5;711
Heinz-Georg;32;Mitte;Bachelor;0;Großstadt;7.5;1025
Lili;69;Mitte;Ausbildung;1;Großstadt;6.0;1089
Madlen;52;Mitte;Ausbildung;0;Kleinstadt;9.0;998
Bettina;34;Rechts;Ausbildung;0;Großstadt;8.0;855
Ingo;79;Mitte;Ausbildung;0;Großstadt;9.5;946
Kazim;47;Mitte;Ausbildung;0;Großstadt;6.5;1013
Jobst;37;Mitte;Ausbildung;0;Großstadt;8.5;972
Rosalie;48;Links;Ausbildung;0;Vorort;8.0;714
Eckart;62;Mitte;Ausbildung;1;Großstadt;7.5;1058
Astrid;51;Mitte;Ausbildung;2;Großstadt;5.0;1163
Kunibert;35;Mitte;ohne;0;Kleinstadt;7.5;870
Susana;32;Links;ohne;3;Großstadt;7.0;699
Dimitri;47;Mitte;Ausbildung;1;Großstadt;7.0;1060
Erich;53;Mitte;Ausbildung;1;Kleinstadt;8.5;1098
Nina;40;Mitte;Ausbildung;2;Großstadt;7.5;1095
Axel;50;Mitte;Ausbildung;0;Vorort;10.5;980
Marianna;71;Mitte;Ausbildung;2;Großstadt;8.5;1086
Nikolaus;52;Mitte;Ausbildung;2;Kleinstadt;6.5;1183
Goran;57;Mitte;Ausbildung;0;Großstadt;7.5;982
Benno;63;Links;ohne;0;Kleinstadt;12.0;636
Vera;40;Mitte;Ausbildung;0;Großstadt;7.0;979
Sarah;37;Rechts;ohne;0;Großstadt;6.5;765
Hans-Herbert;61;Mitte;ohne;0;Großstadt;5.5;900
Selma;54;Mitte;Diplom;1;Großstadt;7.5;1149
Luise;48;Mitte;Ausbildung;0;Großstadt;8.0;963
Gotthard;25;Mitte;Fachschulabschluss;0;Großstadt;8.5;987
Ferdi;34;Mitte;Ausbildung;1;Großstadt;4.5;1158
Sigmund;52;Rechts;ohne;0;Kleinstadt;9.5;739
Lisa;40;Links;Ausbildung;2;Großstadt;6.0;824
Veli;47;Rechts;Ausbildung;0;Großstadt;10.5;813
Elsa;46;Mitte;Diplom;0;Großstadt;8.5;1060
Teresa;53;Mitte;Ausbildung;0;Großstadt;7.5;984
Lea;41;Mitte;Ausbildung;1;Großstadt;7.5;1054
Xenia;53;Mitte;Diplom;1;Großstadt;6.0;1172
Rosemarie;48;Rechts;Fachschulabschluss;1;Großstadt;6.0;1002
Valentine;37;Links;ohne;2;Kleinstadt;9.5;854
Gero;46;Links;Diplom;0;Großstadt;8.0;953
Stefania;70;Mitte;Ausbildung;0;Großstadt;8.5;963
Saban;27;Rechts;Fachschulabschluss;0;Großstadt;8.0;890
Sylvie;45;Rechts;Fachschulabschluss;0;Kleinstadt;8.0;932
Marco;75;Mitte;Diplom;1;Kleinstadt;6.0;1216
Martin;49;Mitte;Ausbildung;2;Großstadt;7.5;1099
Karl-Jürgen;53;Mitte;Ausbildung;0;Großstadt;11.0;890
Sophia;30;Rechts;Fachschulabschluss;0;Vorort;9.5;913
Jolanta;51;Mitte;Ausbildung;0;Großstadt;9.5;945
H.-Dieter;79;Mitte;Ausbildung;0;Großstadt;4.5;1083
Siegward;30;Mitte;Ausbildung;3;Großstadt;6.0;1188
Mohammed;64;Mitte;ohne;0;Kleinstadt;5.5;945
Malgorzata;35;Mitte;Ausbildung;1;Großstadt;6.5;1084
Geza;57;Mitte;Fachschulabschluss;1;Großstadt;7.5;1073
Hedda;76;Rechts;ohne;0;Großstadt;8.0;699
Carl-Heinz;21;Mitte;Ausbildung;0;Vorort;8.5;824
Remo;37;Mitte;Ausbildung;0;Vorort;11.5;948
Sabine;63;Mitte;Ausbildung;1;Ländlich;8.0;1045
Lene;38;Links;Ausbildung;3;Großstadt;6.5;884
Goran;26;Mitte;Ausbildung;3;Großstadt;5.0;1014
Holm;30;Links;Bachelor;2;Großstadt;6.5;1064
Philippe;21;Mitte;Fachschulabschluss;0;Großstadt;7.5;799
Irmtraut;63;Mitte;Ausbildung;0;Ländlich;6.0;1007
Christian;64;Mitte;Ausbildung;1;Kleinstadt;7.0;1110
Horst-Peter;52;Mitte;Diplom;0;Großstadt;7.5;1058
Francisco;47;Mitte;Diplom;0;Großstadt;5.5;1126
Cora;74;Mitte;Ausbildung;0;Vorort;8.0;1024
Filippo;56;Mitte;Ausbildung;0;Kleinstadt;8.5;1024
Arnfried;34;Mitte;Master;0;Kleinstadt;8.0;1081
Herta;46;Mitte;Diplom;0;Kleinstadt;9.5;1092
Sandro;23;Mitte;Ausbildung;0;Kleinstadt;7.5;1035
Anka;42;Mitte;Diplom;1;Großstadt;9.5;1108
Marga;43;Rechts;Fachschulabschluss;0;Großstadt;7.5;895
Patrik;74;Links;Fachschulabschluss;0;Großstadt;8.5;887
Olena;46;Mitte;Ausbildung;1;Großstadt;7.5;1048
Giesela;59;Mitte;Ausbildung;0;Großstadt;9.0;953
Paul;41;Links;Bachelor;0;Großstadt;7.5;725
Gerfried;20;Mitte;ohne;0;Großstadt;7.5;633
Franziska;47;Mitte;Ausbildung;0;Großstadt;8.0;969
Uschi;31;Links;Diplom;0;Kleinstadt;9.5;980
Jacek;67;Mitte;Diplom;0;Großstadt;6.5;1085
Josefa;71;Mitte;Diplom;0;Vorort;8.5;1111
Johan;36;Mitte;ohne;3;Großstadt;6.5;1043
Klaus Peter;32;Links;Fachschulabschluss;2;Großstadt;8.5;1007
Tamara;64;Rechts;ohne;0;Großstadt;8.5;714
Dorle;22;Mitte;Ausbildung;0;Großstadt;10.0;921
Elfie;48;Mitte;Fachschulabschluss;0;Kleinstadt;7.0;1054
Gabi;35;Rechts;ohne;0;Kleinstadt;6.0;812
Greta;28;Links;Bachelor;1;Großstadt;7.0;985
Josip;49;Mitte;Ausbildung;0;Großstadt;7.0;976
Dorothee;29;Links;Ausbildung;2;Großstadt;7.5;991
Judith;71;Mitte;Diplom;1;Großstadt;8.5;1133
Victoria;70;Mitte;Ausbildung;0;Kleinstadt;7.0;1030
Gesine;51;Links;Fachschulabschluss;1;Kleinstadt;9.0;993
Benedikt;40;Rechts;Diplom;0;Ländlich;10.0;901
Hanife;21;Mitte;Ausbildung;1;Vorort;9.5;1071
Phillip;21;Mitte;ohne;0;Großstadt;8.5;823
Ole;30;Mitte;Ausbildung;0;Kleinstadt;6.5;870
Annie;71;Mitte;Diplom;0;Großstadt;10.0;1006
Kilian;42;Mitte;Ausbildung;0;Vorort;10.0;974
Annedore;32;Mitte;Fachschulabschluss;1;Vorort;6.0;1164
Astrid;27;Mitte;Diplom;1;Großstadt;6.5;1159
Katy;39;Links;ohne;1;Kleinstadt;7.0;851
Apollonia;63;Mitte;ohne;0;Großstadt;5.0;891
Nelly;27;Links;Ausbildung;2;Großstadt;7.0;992
Steve;25;Mitte;Ausbildung;0;Großstadt;8.5;970
Wladimir;43;Rechts;Ausbildung;1;Vorort;9.0;967
Willfried;28;Rechts;Fachschulabschluss;0;Vorort;9.0;923
Marzena;31;Mitte;Ausbildung;0;Großstadt;6.0;1000
Francesco;50;Mitte;Ausbildung;0;Großstadt;4.5;1076
Kristin;66;Mitte;ohne;0;Großstadt;7.5;839
Margaretha;43;Rechts;Diplom;0;Ländlich;10.5;899
Corinne;23;Links;ohne;3;Kleinstadt;7.5;601
Inna;42;Links;ohne;1;Großstadt;8.0;797
Hagen;40;Mitte;Ausbildung;0;Kleinstadt;9.5;1003
Jo;75;Mitte;Ausbildung;0;Kleinstadt;8.5;1024
Tabea;73;Mitte;Diplom;2;Großstadt;6.5;1218
Wladimir;54;Mitte;Diplom;1;Großstadt;9.0;1111
Cetin;36;Links;Ausbildung;0;Großstadt;5.0;735
Frieda;57;Links;Ausbildung;2;Großstadt;7.5;988
Karoline;64;Rechts;Ausbildung;1;Ländlich;8.0;940
Henriette;62;Links;Diplom;2;Großstadt;6.0;913
Peter-Michael;20;Links;ohne;3;Ländlich;9.5;877
Irmgard;43;Mitte;ohne;1;Großstadt;8.0;897
Mariusz;49;Links;ohne;1;Großstadt;5.5;855
Jan;39;Links;Diplom;2;Vorort;5.0;1190
August;75;Mitte;ohne;0;Vorort;9.0;849
Alla;41;Links;Ausbildung;2;Großstadt;6.5;818
Elly;72;Rechts;ohne;0;Großstadt;8.5;716
Linda;58;Mitte;Ausbildung;0;Großstadt;7.5;976
Milan;37;Mitte;Bachelor;1;Großstadt;6.5;1130
Kristiane;33;Mitte;Ausbildung;1;Großstadt;8.5;1036
Pia;63;Mitte;Diplom;2;Großstadt;9.5;1145
Evelyn;37;Links;Ausbildung;3;Vorort;6.5;1140
Sylvester;26;Mitte;ohne;1;Großstadt;8.5;679
Irmela;48;Mitte;ohne;2;Kleinstadt;7.5;993
Hans-Eberhard;21;Links;Master;1;Großstadt;10.0;955
Horst;24;Mitte;Bachelor;0;Großstadt;7.5;1021
Robin;29;Mitte;Ausbildung;0;Großstadt;8.0;977
Nicole;20;Mitte;ohne;0;Großstadt;9.0;795
Larissa;36;Rechts;Ausbildung;0;Großstadt;8.0;860
Jessica;55;Mitte;Diplom;1;Großstadt;9.5;1106
Ina;44;Mitte;Ausbildung;0;Großstadt;6.5;1010
Jane;73;Mitte;ohne;1;Großstadt;5.5;974
Vlado;44;Mitte;Ausbildung;1;Vorort;8.5;1097
Raymond;70;Mitte;ohne;0;Großstadt;6.5;864
Adelgunde;51;Links;Ausbildung;2;Kleinstadt;6.5;1075
Curt;35;Rechts;Fachschulabschluss;0;Großstadt;6.0;932
Ivanka;61;Mitte;Ausbildung;1;Kleinstadt;8.0;1100
Berend;46;Links;Diplom;0;Großstadt;10.0;704
Walli;49;Links;Ausbildung;2;Kleinstadt;8.0;836
Melita;66;Links;Fachschulabschluss;0;Ländlich;11.0;806
Ingolf;72;Mitte;Ausbildung;0;Großstadt;6.5;1009
Hanne-Lore;48;Rechts;Ausbildung;2;Ländlich;8.0;976
Raphael;34;Links;Fachschulabschluss;2;Großstadt;7.5;810
Siegmund;28;Mitte;ohne;0;Großstadt;7.0;626
Evangelos;56;Mitte;Fachschulabschluss;0;Großstadt;6.5;1036
Philipp;25;Links;Bachelor;0;Großstadt;9.5;890
Damaris;70;Mitte;Ausbildung;0;Großstadt;7.0;980
Manja;71;Rechts;Ausbildung;0;Großstadt;6.0;910
Lukas;28;Mitte;ohne;0;Großstadt;8.5;619
Siglinde;31;Mitte;ohne;2;Großstadt;7.0;936
Olaf;62;Links;Ausbildung;0;Ländlich;11.0;793
Mariusz;72;Links;ohne;1;Großstadt;8.0;618
Hansjörg;63;Mitte;ohne;0;Großstadt;9.0;794
Kornelius;74;Mitte;Diplom;3;Großstadt;6.0;1278
Petra;55;Mitte;Diplom;0;Großstadt;8.5;1049
Sergio;56;Mitte;Diplom;0;Kleinstadt;9.0;1095
Gerda;47;Mitte;ohne;2;Kleinstadt;7.0;1000
Hans-Christian;36;Rechts;ohne;0;Ländlich;10.0;659
Egon;46;Mitte;Ausbildung;1;Großstadt;9.5;1018
Inga;60;Mitte;Promotion;0;Kleinstadt;7.0;1153
Johanna;47;Mitte;Diplom;0;Großstadt;10.5;1012
Julie;76;Rechts;Ausbildung;0;Großstadt;7.5;876
Ronny;28;Rechts;Bachelor;1;Großstadt;7.5;991
Rico;24;Mitte;ohne;2;Großstadt;8.0;932
Hedda;23;Mitte;Bachelor;0;Ländlich;11.5;736
Marion;42;Rechts;ohne;0;Großstadt;6.0;765
Angelo;54;Mitte;Ausbildung;0;Großstadt;8.0;963
Silvester;52;Mitte;Ausbildung;1;Vorort;8.5;1096
Burkard;38;Mitte;Diplom;2;Kleinstadt;6.5;1262
Volkmar;41;Mitte;Ausbildung;0;Kleinstadt;9.0;1002
Anna-Luise;55;Mitte;Ausbildung;0;Kleinstadt;8.5;1019
Rico;56;Mitte;Ausbildung;0;Kleinstadt;8.5;1022
Roger;77;Mitte;Fachschulabschluss;2;Großstadt;9.5;1083
Hans-Christian;78;Rechts;Diplom;0;Großstadt;9.0;912
Franjo;44;Mitte;Ausbildung;1;Großstadt;6.5;1079
Elwira;39;Mitte;Ausbildung;0;Großstadt;7.5;977
Karola;41;Links;Diplom;1;Kleinstadt;8.5;881
Hans-Adolf;42;Mitte;Ausbildung;0;Vorort;8.5;1017
Juan;29;Mitte;ohne;2;Großstadt;8.0;929
Alina;39;Rechts;Master;0;Kleinstadt;10.5;938
Friedbert;44;Links;ohne;0;Großstadt;8.5;718
Nurten;26;Mitte;Master;0;Großstadt;8.5;1041
Anneliese;67;Mitte;Fachschulabschluss;3;Großstadt;8.5;1174
Anneke;54;Links;ohne;0;Ländlich;9.5;678
Irmgard;33;Mitte;Ausbildung;0;Großstadt;9.5;944
Käte;32;Mitte;Master;0;Großstadt;6.5;1079
Rotraut;64;Mitte;Ausbildung;0;Großstadt;7.0;980
Florentine;64;Mitte;Ausbildung;0;Großstadt;7.0;976
Lilian;67;Mitte;Diplom;0;Großstadt;9.5;1025
Fadime;63;Rechts;Ausbildung;0;Großstadt;8.5;858
Muzaffer;39;Mitte;Ausbildung;0;Kleinstadt;8.5;1020
Violetta;75;Mitte;Diplom;1;Großstadt;9.0;1111
Rudolf;51;Links;Ausbildung;2;Großstadt;6.5;815
Andrzej;66;Mitte;Ausbildung;2;Großstadt;5.5;1152
Waltraut;51;Rechts;Ausbildung;0;Kleinstadt;10.0;861
Lilija;71;Mitte;Ausbildung;0;Kleinstadt;9.5;1000
Heinz-Willi;47;Mitte;Diplom;1;Großstadt;7.0;1139
Nora;62;Rechts;ohne;0;Großstadt;6.5;755
Hüseyin;40;Links;Ausbildung;0;Vorort;11.0;840
Sami;52;Mitte;Diplom;1;Kleinstadt;7.5;1199
Silvio;60;Mitte;Fachschulabschluss;0;Großstadt;8.0;989
Kurt;30;Links;Master;2;Großstadt;6.5;684
Edelbert;53;Mitte;Ausbildung;0;Ländlich;9.5;943
Julia;43;Mitte;Ausbildung;0;Kleinstadt;8.5;1029
Augustin;23;Links;Ausbildung;0;Großstadt;5.5;939
Sibylle;69;Mitte;Ausbildung;0;Großstadt;6.5;1012
Denny;47;Links;Fachschulabschluss;0;Großstadt;8.5;881
Hakan;46;Rechts;Fachschulabschluss;0;Großstadt;8.0;888
Olena;59;Rechts;Ausbildung;1;Kleinstadt;6.0;1040
Hans-Werner;37;Mitte;Fachschulabschluss;0;Vorort;7.5;1056
Aleksandra;75;Mitte;Ausbildung;0;Großstadt;9.0;942
Willibert;43;Mitte;Ausbildung;0;Großstadt;9.0;943
Cosima;48;Rechts;Diplom;0;Kleinstadt;8.5;1004
Annemie;40;Rechts;Diplom;2;Kleinstadt;6.5;1155
Stanislav;37;Mitte;ohne;0;Kleinstadt;9.0;858
Patrizia;55;Mitte;Ausbildung;3;Kleinstadt;8.0;1199
Kevin;57;Mitte;ohne;0;Großstadt;9.0;802
Paul-Heinz;52;Mitte;Ausbildung;1;Vorort;10.0;1050
Ewa;71;Mitte;Ausbildung;2;Kleinstadt;7.0;1146
Ladislaus;78;Mitte;ohne;0;Ländlich;9.0;811
Guenther;49;Mitte;Diplom;1;Großstadt;6.0;1179
Giesela;33;Mitte;Diplom;0;Großstadt;6.0;1087
